id,Company,Year,Launch Time,Launch Site,Temperature (° F),Wind speed (MPH),Humidity (%),Vehicle Type,Liftoff Thrust (kN),Payload to Orbit (kg),Rocket Height (m),Fairing Diameter (m),Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Mission Status,Failure Reason
16,US Air Force,1973,NA,Vandenberg ,50,10,80,Titan III(24)B,2410,4000,50,3,KH-8 no. 39,Reconnaissance Satellites,3000,Low Earth Orbit,Failure,Agena Failed to reach orbit
17,US Air Force,1972,15:30,Vandenberg ,64,20,46,Titan III(24)B,2410,4000,50,3,KH-8 no. 35,Reconnaissance Satellites,3000,Low Earth Orbit,Failure,Agena pressurization failure
18,US Air Force,1967,16:19,Vandenberg ,60,15,80,Titan IIIB,2300,3300,45,1.52,KH-8 Gambit no.06,Reconnaissance Satellites,3000,Polar Orbit,Failure,A problem with the second stage protective skirt caused a lower then planned orbit.
19,US Air Force,1967,NA,Vandenberg ,56,12,75,Titan IIIB,2300,3300,45,1.52,KH-8 Gambit no.05,Reconnaissance Satellites,3000,Polar Orbit,Failure,A loss of thrust in the second stage means the rocket failed to achieve orbit.
20,US Air Force,1965,17:23,Cape Canaveral,NA,NA,NA,Titan IIIC,13642,13100,42,3,LCS-2,Research Satellite,NA,Low Earth Orbit,Failure,The Transtage disintegrated causing a launch failure.
21,US Air Force,1964,15:00,Cape Canaveral,NA,NA,NA,Titan IIIA,1936,3100,42,3,Transtage 1,None,0,Low Earth Orbit,Failure,Transtage failed to pressurize.
22,European Space Agency,1980,14:29, Guiana Space Centre,NA,NA,NA,Ariane 1,2772,1850,50,NA,CAT-2 / Amsat P3A / Firewheel Subsat,Communication Satellite,NA,Geostationary Transfer Orbit,Failure,Combustion instability that had occurred in one of the Viking first stage engines.
23,European Space Agency,1982,2:12, Guiana Space Centre,NA,NA,NA,Ariane 1,2772,1850,50,NA,MARCES-B / Sirio-2,Communication Satellite,1710,Geostationary Transfer Orbit,Failure,Third stage turbopump malfunction.
24,Brazilian Space Agency,1997,NA,Alcântara Launch Center,NA,NA,NA,VLS-1,623,380,19,1,SCD-2A,Research Satellites,115,Low Earth Orbit,Failure,malfunction of the first stage
25,Brazilian Space Agency,1999,19:40,Alcântara Launch Center,84,12,84,VLS-1,623,380,19,1,SACI-2,Research Satellites,80,Low Earth Orbit,Failure,malfunction of the second stage
26,Brazilian Space Agency,2003,NA,Alcântara Launch Center,83,10,85,VLS-1,623,380,19,1,"SATEC, UNOSAT",Research Satellites,74,Low Earth Orbit,Failure,"launcher exploded on the pad two days before the launch, killing 21 people"
27,Arianespace,2019,1:53, Guiana Space Centre,73,0,94,Vega,2200,1436,29.9,2.6,Falcon Eye 1,optical reconnaissance system,1197,Low Earth Orbit,Failure,"anomaly occurred shortly after the planned second stage ignition, leading to a loss of the launch vehicle and its payload"
28,Arianespace,2002,22:22, Guiana Space Centre,77,0,94,Ariane 5 ECA,15120,21000,53,5.4,"Hot Bird 7, STENTOR",Communication Satellite,5480,Geostationary Transfer Orbit,Failure,"first stage engine failure, rocket destroyed by range safety."
29,Arianespace,1996,12:34, Guiana Space Centre,NA,NA,NA,Ariane 5 G,11400,6900,52,NA,Cluster,European Space Agency spacecraft,NA,High Earth Orbit,Failure,"The Ariane 5 program's first launch failed because of a programming error. Range safety officers elected to destroy the rocket during the launch, according to the Ariane 5 Flight 501 failure report. Maiden flight of Ariane 5G"
30,Arianespace,1994,22:57, Guiana Space Centre,NA,NA,NA,Ariane 42P,4334,2930,58.72,NA,Panamsat-3,Communication Satellite,2920,Geostationary Transfer Orbit,Failure,NA
31,SpaceX,2008,23:15,Marshall Islands,NA,NA,NA,Falcon 1,343,470,22.25,1.5,RatSat (DemoSat),,165,Low Earth Orbit,Success,
32,SpaceX,2009,3:35,Marshall Islands,NA,NA,NA,Falcon 1,343,470,22.25,1.5,RazakSAT,Weather Satellite,180,Low Earth Orbit,Success,
33,SpaceX,2010,18:45,Cape Canaveral,78,7,88,Falcon 9 (v1.0),4940,10450,54.9,5.2,Dragon Spacecraft Qualification Unit,,NA,Low Earth Orbit,Success,
34,SpaceX,2010,15:43,Cape Canaveral,61,8,40,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS (Dragon C1),Space Station Supplies,NA,Low Earth Orbit,Success,
35,SpaceX,2012,7:44,Cape Canaveral,74,0,74,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS (Dragon C2+),Space Station Supplies,NA,Low Earth Orbit,Success,
36,SpaceX,2012,0:35,Cape Canaveral,77,0,100,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS-1,Space Station Supplies,500,Low Earth Orbit,Success,
37,SpaceX,2013,15:10,Cape Canaveral,62,13,45,Falcon 9 (v1.0),4940,10450,54.9,5.2,SpaceX CRS-2,Space Station Supplies,677,Low Earth Orbit,Success,
38,SpaceX,2013,16:00,Vandenberg ,68,13,59,Falcon 9 (v1.1),5885,13150,68.4,5.2,CASSIOPE,Communication/Research Satellite,500,Polar Orbit,Success,
39,SpaceX,2013,22:41,Cape Canaveral,68,5,96,Falcon 9 (v1.1),5885,4850,68.4,5.2,SES-8,Communication Satellite,3170,Geostationary Transfer Orbit,Success,
40,SpaceX,2014,22:06,Cape Canaveral,50,17,41,Falcon 9 (v1.1),5885,4850,68.4,5.2,Thaicom 6,Communication Satellite,3325,Geostationary Transfer Orbit,Success,
41,SpaceX,2014,19:25,Cape Canaveral,69,0,93,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-3,Space Station Supplies,2296,Low Earth Orbit,Success,
42,SpaceX,2014,15:15,Cape Canaveral,88,16,65,Falcon 9 (v1.1),5885,13150,68.4,5.2,OG2 Mission 1 (6 OG2 Satellites),Communication Satellite,NA,Low Earth Orbit,Success,
43,SpaceX,2014,8:00,Cape Canaveral,83,12,79,Falcon 9 (v1.1),5885,4850,68.4,5.2,AsiaSat 8,Communication Satellite,4535,Geostationary Transfer Orbit,Success,
44,SpaceX,2014,5:00,Cape Canaveral,75,3,90,Falcon 9 (v1.1),5885,4850,68.4,5.2,AsiaSat 6,Communication Satellite,4428,Geostationary Transfer Orbit,Success,
45,SpaceX,2014,5:52,Cape Canaveral,73,0,93,Falcon 9 (v1.1),5885,4850,68.4,5.2,SpaceX CRS-4,Space Station Supplies,2216,Geostationary Transfer Orbit,Success,
46,SpaceX,2015,9:47,Cape Canaveral,63,12,60,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-5,Space Station Supplies,2395,Low Earth Orbit,Success,
47,SpaceX,2015,23:03,Cape Canaveral,51,0,83,Falcon 9 (v1.1),5885,4850,68.4,5.2,DSCOVR,Weather Satellite,570,Sun/Earth Orbit,Success,
48,SpaceX,2015,3:50,Cape Canaveral,65,3,100,Falcon 9 (v1.1),5885,13150,68.4,5.2,ABS-3A,Communication Satellite,4159,Geostationary Transfer Orbit,Success,
49,SpaceX,2015,3:50,Cape Canaveral,65,3,100,Falcon 9 (v1.1),5885,13150,68.4,5.2,Eutelsat 115 West B (Satmex 7),Communication Satellite,4159,Geostationary Transfer Orbit,Success,
50,SpaceX,2015,20:10,Cape Canaveral,77,5,84,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-6,Space Station Supplies,1898,Low Earth Orbit,Success,
51,SpaceX,2015,23:03,Cape Canaveral,74,6,74,Falcon 9 (v1.1),5885,4850,68.4,5.2,TurkmenAlem 52E/MonacoSAT,Communication Satellite,4707,Geostationary Transfer Orbit,Success,
52,SpaceX,2015,1:29,Cape Canaveral,74,8,91,Falcon 9 Full Thrust (v1.2),6804,22800,70,5.2,OG2 Mission 2 (11 OG2 Satellites),Communication Satellite,NA,Low Earth Orbit,Success,
53,SpaceX,2016,18:42,Vandenberg ,51,3,100,Falcon 9 (v1.1),5885,13150,68.4,5.2,Jason-3,Weather Satellite,553,Low Earth Orbit,Success,
54,SpaceX,2016,23:35,Cape Canaveral,62,9,74,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,SES-9,Communication Satellite,5271,Geostationary Transfer Orbit,Success,
55,SpaceX,2016,20:43,Cape Canaveral,67,9,61,Falcon 9 Full Thrust (v1.2),6804,22800,70,5.2,SpaceX CRS-8,Space Station Supplies,3136,Low Earth Orbit,Success,
56,SpaceX,2016,5:21,Cape Canaveral,60,7,72,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,JCSAT-14,Communication Satellite,4696,Geostationary Transfer Orbit,Success,
57,SpaceX,2016,21:39,Cape Canaveral,77,12,79,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Thaicom 8,Communication Satellite,3100,Geostationary Transfer Orbit,Success,
58,SpaceX,2016,14:29,Cape Canaveral,89,13,70,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,ABS-2A,Communication Satellite,3600,Geostationary Transfer Orbit,Success,
59,SpaceX,2016,14:29,Cape Canaveral,89,13,70,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Eutelsat 117 West B (Satmex 9),Communication Satellite,3600,Geostationary Transfer Orbit,Success,
60,SpaceX,2016,4:45,Cape Canaveral,83,10,77,Falcon 9 Full Thrust (v1.2),6804,22800,70,5.2,SpaceX CRS-9,Space Station Supplies,2257,Low Earth Orbit,Success,
61,SpaceX,2016,5:26,Cape Canaveral,83,8,88,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,JCSAT-16,Communication Satellite,4600,Geostationary Transfer Orbit,Success,
62,SpaceX,2017,17:54,Vandenberg ,50,9,96,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Iridium NEXT 1-10,Communication Satellite,9600,Low Earth Orbit,Success,
63,SpaceX,2017,14:39,Kennedy Space Center,73,13,61,Falcon 9 Full Thrust (v1.2),6804,22800,70,5.2,SpaceX CRS-10,Space Station Supplies,2490,Low Earth Orbit,Success,
64,SpaceX,2017,6:00,Kennedy Space Center,37,12,48,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,SpaceX Echostar 23,Communication Satellite,5600,Geostationary Transfer Orbit,Success,
65,SpaceX,2017,22:27,Kennedy Space Center,73,20,65,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,SpaceX SES-10,Communication Satellite,5300,Geostationary Transfer Orbit,Success,
66,SpaceX,2017,11:15,Kennedy Space Center,81,14,94,Falcon 9 Full Thrust (v1.2),6804,22800,70,5.2,NROL-76,Classified,Classified,Low Earth Orbit,Success,
67,SpaceX,2017,23:21,Kennedy Space Center,77,12,78,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Inmarsat-5 F4,high-speed mobile broadband service,6070,Geostationary Transfer Orbit,Success,
68,SpaceX,2017,21:07,Kennedy Space Center,81,3,89,Falcon 9 Full Thrust (v1.2),6804,22800,70,5.2,SpaceX CRS-11,Space Station Supplies,2708,Low Earth Orbit,Success,
69,SpaceX,2017,19:10,Kennedy Space Center,84,12,74,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,BulgariaSat-1,Communication Satellite,3669,Geostationary Transfer Orbit,Success,
70,SpaceX,2017,20:25,Vandenberg ,55,3,96,Falcon 9 Block 3,6804,8300,70,5.2,Iridium-2,Communication Satellite,9600,Polar Orbit,Success,
71,SpaceX,2017,20:25,Kennedy Space Center,84,6,84,Falcon 9 Block 3,6804,8300,70,5.2,Intelsat 35e,Communication Satellite,6761,Geostationary Transfer Orbit,Success,
72,SpaceX,2017,16:31,Kennedy Space Center,91,12,66,Falcon 9 Block 4,6804,22800,70,5.2,CRS-12,Space Station Supplies,3310,Low Earth Orbit,Success,
73,SpaceX,2017,18:51,Vandenberg ,58,3,100,Falcon 9 Block 3,6804,22800,70,5.2,Formosat-5,Earth observation satellite,475,Sun-Synchronous Orbit,Success,
74,SpaceX,2017,14:00,Kennedy Space Center,86,14,74,Falcon 9 Block 4,6804,22800,70,5.2,OTV-5,reusable uncrewed spacecraft,4990,Low Earth Orbit,Success,
75,SpaceX,2017,12:37,Vandenberg ,77,9,45,Falcon 9 Block 4,6804,22800,70,5.2,Iridium-3,Communication Satellite,9600,Polar Orbit,Success,
76,SpaceX,2017,22:53,Kennedy Space Center,82,18,70,Falcon 9 Block 3,6804,8300,70,5.2,SES-11 / EchoStar 105,Communication Satellite,5200,Geostationary Transfer Orbit,Success,
77,SpaceX,2017,19:34,Kennedy Space Center,54,0,94,Falcon 9 Block 4,6804,8300,70,5.2,Koreasat 5A,"Direct-to-Home (DTH) broadcast, broadband, and backhaul services",3500,Geostationary Transfer Orbit,Success,
78,SpaceX,2017,15:36,Cape Canaveral,75,9,53,Falcon 9 Block 3,6804,22800,70,5.2,CRS-13,Space Station Supplies,2205,Low Earth Orbit,Success,
79,SpaceX,2017,1:27,Vandenberg ,37,3,73,Falcon 9 Block 3,6804,22800,70,5.2,Iridium-4,Communication Satellite,9600,Polar Orbit,Success,
80,SpaceX,2018,1:00,Cape Canaveral,64,12,70,Falcon 9 Block 4,6804,22800,70,5.2,Zuma,Classified,Classified,Low Earth Orbit,Success,
81,SpaceX,2018,21:25,Cape Canaveral,52,3,86,Falcon 9 Block 3,6804,8300,70,5.2,GovSat-1 / SES-16,Governmental and institutional security user needs satellite,4230,Geostationary Transfer Orbit,Success,
82,SpaceX,2018,20:45,Kennedy Space Center,68,7,94,Falcon Heavy,22819,63800,70,5.2,Elon Musk's Tesla Roadster,Tesla carrying mannequin Starman – sporting SpaceX spacesuit,1300,Heliocentric Orbit,Success,
83,SpaceX,2018,14:17,Vandenberg ,56,23,50,Falcon 9 Block 3,6804,22800,70,5.2,PAZ / Tintin A & B,Spain's spy satellite / internet satellite,2141,Sun-Synchronous Orbit,Success,
84,SpaceX,2018,5:33,Cape Canaveral,53,0,86,Falcon 9 Block 4,6804,8300,70,5.2,Hispasat 30W-6,Communication Satellite,6092,Geostationary Transfer Orbit,Success,
85,SpaceX,2018,14:14,Vandenberg ,68,9,65,Falcon 9 Block 4,6804,22800,70,5.2,Iridium-5,Communication Satellite,9600,Polar Orbit,Success,
86,SpaceX,2018,20:30,Cape Canaveral,74,8,79,Falcon 9 Block 4,6804,22800,70,5.2,CRS-14,Space Station Supplies,2647,Low Earth Orbit,Success,
87,SpaceX,2018,22:51,Cape Canaveral,69,9,75,Falcon 9 Block 4,6804,8300,70,5.2,Transiting Exoplanet Survey Satellite (TESS),Star monitor,362,High Earth Orbit,Success,
88,SpaceX,2018,20:14,Kennedy Space Center,79,8,69,Falcon 9 Block 5,7607,8300,70,5.2,Bangabandhu-1,Communication Satellite,3600,Geostationary Transfer Orbit,Success,
89,SpaceX,2018,19:47,Vandenberg ,55,8,83,Falcon 9 Block 4,6804,22800,70,5.2,Iridium-6 / GRACE-FO,Communication Satellite / Research satellite,5960,Polar Orbit,Success,
90,SpaceX,2018,4:29,Cape Canaveral,79,9,90,Falcon 9 Block 4,6804,8300,70,5.2,SES-12,Communication Satellite,5400,Geostationary Transfer Orbit,Success,
91,SpaceX,2018,9:42,Cape Canaveral,90,5,63,Falcon 9 Block 4,6804,22800,70,5.2,CRS-15,Space Station Supplies,2700,Low Earth Orbit,Success,
92,SpaceX,2018,5:50,Cape Canaveral,81,8,91,Falcon 9 Block 5,7607,8300,70,5.2,Telstar 19V,Communication Satellite,7080,Geostationary Transfer Orbit,Success,
93,SpaceX,2018,11:39,Vandenberg ,80,8,43,Falcon 9 Block 5,7607,22800,70,5.2,Iridium-7,Communication Satellite,9600,Polar Orbit,Success,
94,SpaceX,2018,5:18,Cape Canaveral,80,8,79,Falcon 9 Block 5,7607,8300,70,5.2,Merah Putih (Telkom-4),Communication Satellite,5800,Geostationary Transfer Orbit,Success,
95,SpaceX,2018,4:45,Cape Canaveral,75,6,90,Falcon 9 Block 5,7607,8300,70,5.2,Telstar 18V / APStar 5C,Communication Satellite,7060,Geostationary Transfer Orbit,Success,
96,SpaceX,2018,2:21,Vandenberg ,50,5,80,Falcon 9 Block 5,7607,22800,70,5.2,SAOCOM 1A,Research Satellite,3000,Sun-Synchronous Orbit,Success,
97,SpaceX,2018,20:46,Kennedy Space Center,63,5,88,Falcon 9 Block 5,7607,8300,70,5.2,Es'hail 2,Direct-to-Home Television Services,3000,Geostationary Transfer Orbit,Success,
98,SpaceX,2018,18:34,Vandenberg ,51,6,80,Falcon 9 Block 5,7607,22800,70,5.2,Spaceflight SSO-A,Communication Satellite,3000,Sun-Synchronous Orbit,Success,
99,SpaceX,2018,18:16,Cape Canaveral,53,8,52,Falcon 9 Block 5,7607,22800,70,5.2,CRS-16,Space Station Supplies,2573,Low Earth Orbit,Success,
100,SpaceX,2018,13:51,Cape Canaveral,69,9,51,Falcon 9 Block 5,7607,22800,70,5.2,GPS III SV01,GPS III satellites,3880,Medium Earth Orbit,Success,
101,SpaceX,2019,15:31,Vandenberg ,60,13,64,Falcon 9 Block 5,7607,22800,70,5.2,Iridium-8,Communication Satellite,9600,Polar Orbit,Success,
102,SpaceX,2019,1:45,Cape Canaveral,70,0,90,Falcon 9 Block 5,7607,8300,70,5.2,Nusantara Satu / Beresheet / AFRL S5,Communication Satellite / Moon lander / Reseach Satellite,5380,Geostationary Transfer Orbit,Success,
103,SpaceX,2019,7:49,Kennedy Space Center,72,5,94,Falcon 9 Block 5,7607,22800,70,5.2,SpaceX Demo-1,Uncrewed Test Commercial Crew program,0,Low Earth Orbit,Success,
104,SpaceX,2019,22:35,Kennedy Space Center,79,6,74,Falcon Heavy,22819,26700,70,5.2,ArabSat 6A,Communication Satellite,6000,Geostationary Transfer Orbit,Success,
105,SpaceX,2019,6:48,Cape Canaveral,75,7,94,Falcon 9 Block 5,7607,22800,70,5.2,CRS-17,Space Station Supplies,2500,Low Earth Orbit,Success,
106,SpaceX,2019,2:30,Cape Canaveral,77,8,64,Falcon 9 Block 5,7607,22800,70,5.2,Starlink v0.9,Communication Satellite,13620,Low Earth Orbit,Success,
107,SpaceX,2019,14:17,Vandenberg ,72,12,64,Falcon 9 Block 5,7607,22800,70,5.2,RADARSAT Constellation,Earth observation satellites,4200,Sun-Synchronous Orbit,Success,
108,SpaceX,2019,6:30,Kennedy Space Center,84,3,94,Falcon Heavy,22819,26700,70,5.2,STP-2,Research Satellite,NA,Medium Earth Orbit,Success,
109,SpaceX,2019,22:01,Cape Canaveral,77,8,88,Falcon 9 Block 5,7607,22800,70,5.2,CRS-18,Space Station Supplies,2500,Low Earth Orbit,Success,
110,SpaceX,2019,23:23,Cape Canaveral,77,6,90,Falcon 9 Block 5,7607,8300,70,5.2,AMOS-17,Communication Satellite,6500,Geostationary Transfer Orbit,Success,
111,SpaceX,2019,14:56,Cape Canaveral,75,9,79,Falcon 9 Block 5,7607,22800,70,5.2,Starlink V1 L1,Communication Satellite,15600,Low Earth Orbit,Success,
112,SpaceX,2019,17:29,Cape Canaveral,58,7,72,Falcon 9 Block 5,7607,22800,70,5.2,CRS-19,Space Station Supplies,2500,Low Earth Orbit,Success,
113,SpaceX,2019,0:10,Cape Canaveral,75,6,90,Falcon 9 Block 5,7607,8300,70,5.2,JCSAT-18 / Kacific-1,Communication Satellite,6956,Geostationary Transfer Orbit,Success,
114,SpaceX,2020,2:19,Cape Canaveral,48,5,93,Falcon 9 Block 5,7607,22800,70,5.2,Starlink V1 L2,Communication Satellite,15600,Low Earth Orbit,Success,
115,SpaceX,2020,15:30,Kennedy Space Center,81,8,54,Falcon 9 Block 5,7607,22800,70,5.2,Crew Dragon Inflight Abort Test,in-flight abort test,6350,Suborbital,Success,
116,SpaceX,2020,14:06,Cape Canaveral,72,8,68,Falcon 9 Block 5,7607,22800,70,5.2,Starlink V1 L3,Communication Satellite,15600,Low Earth Orbit,Success,
117,SpaceX,2020,15:05,Cape Canaveral,77,9,74,Falcon 9 Block 5,7607,22800,70,5.2,Starlink V1 L4,Communication Satellite,15600,Low Earth Orbit,Success,
118,SpaceX,2020,4:50,Cape Canaveral,55,22,55,Falcon 9 Block 5,7607,22800,70,5.2,CRS-20,Space Station Supplies,2500,Low Earth Orbit,Success,
119,Boeing,1998,13:37,Vandenberg ,55,13,80,Delta II 7920-10C,3511,4844,38.9,3,MS-11,Communication Satellite,NA,Low Earth Orbit,Success,
120,Boeing,1998,23:54,Cape Canaveral,77,12,70,Delta II 7925,3511,1819,38.1,2.9,BONUM-1,Communication Satellite,NA,Geostationary Transfer Orbit,Success,
121,Boeing,1998,18:45,Cape Canaveral,72,12,94,Delta II 7425,3020,1110,38.1,2.9,Mars Climate Orbiter,Robotic space probe,338,Heliocentric Orbit,Success,
122,Boeing,1999,20:21,Cape Canaveral,64,12,77,Delta II 7425,3020,1110,38.1,2.9,Mars Polar Lander,Robotic spacecraft lander,290,Heliocentric Orbit,Success,
123,Boeing,1999,21:04,Cape Canaveral,68,7,68,Delta II 7426,3020,1058,38.1,2.9,Stardust,Robotic space probe,305,Heliocentric Orbit,Success,
124,Boeing,1999,10:29,Vandenberg ,68,9,37,Delta II 7920-10,3511,4800,38.9,3,ARGOS (P91-1 ARGOS),Research Satellite,2450,Polar Orbit,Success,
125,Boeing,1999,18:32,Vandenberg ,58,0,78,Delta II 7920-10,3511,4800,38.9,3,Landsat 7,Research Satellite,2200,Sun-Synchronous Orbit,Success,
126,Boeing,1999,13:48,Cape Canaveral,82,12,84,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 3,Communication Satellite,550,Low Earth Orbit,Success,
127,Boeing,1999,15:44,Cape Canaveral,84,9,62,Delta II 7320-10C,2533,2703,38.9,3,FUSE,Space-based Telescope,1360,Low Earth Orbit,Success,
128,Boeing,1999,8:45,Cape Canaveral,88,10,66,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 4,Communication Satellite,550,Low Earth Orbit,Success,
129,Boeing,1999,7:46,Cape Canaveral,88,0,58,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 5,Communication Satellite,550,Low Earth Orbit,Success,
130,Boeing,1999,12:51,Cape Canaveral,90,8,62,Delta II 7925,3511,1819,38.1,2.9,USA-145 (GPS IIR-3),Global Positioning System,2032,Medium Earth Orbit,Success,
131,Boeing,1999,4:37,Cape Canaveral,79,0,89,Delta II 7420-10C,3020,3099,38.9,3,Globalstar 6,Communication Satellite,550,Low Earth Orbit,Success,
132,Boeing,2000,21:24,Cape Canaveral,57,0,82,Delta II 7920-10C,3511,4800,38.9,3,Globalstar 7,Communication Satellite,550,Low Earth Orbit,Success,
133,Boeing,2000,20:34,Vandenberg ,47,3,86,Delta II 7326,2533,934,38.1,2.9,IMAGE,Research Satellite,210,Polar Orbit,Success,
134,Boeing,2000,1:48,Cape Canaveral,72,5,94,Delta II 7925,3511,1819,38.1,2.9,USA-150 (GPS IIR-4),Global Positioning System,2032,Medium Earth Orbit,Success,
135,Boeing,2000,9:17,Cape Canaveral,88,12,70,Delta II 7925,3511,1819,38.1,2.9,USA-151 (GPS IIR-5),Global Positioning System,2032,Medium Earth Orbit,Success,
136,Boeing,2000,11:05,Cape Canaveral,NA,NA,NA,Delta III 8930,628,8290,35,4,DM F3,Test Satellite,4348,Medium Earth Orbit,Success,
137,Boeing,2000,17:14,Cape Canaveral,75,6,73,Delta II 7925,3511,1819,38.1,2.9,USA-154 (GPS IIR-6),Global Positioning System,2032,Medium Earth Orbit,Success,
138,Boeing,2000,18:24,Vandenberg ,45,0,100,Delta II 7320-10C,2533,2703,38.9,3,EO-1,Earth Observation Satellite,673,Low Earth Orbit,Success,
139,Boeing,2001,7:55,Cape Canaveral,68,15,83,Delta II 7925,3511,1819,38.1,2.9,USA-156 (GPS IIR-7),Global Positioning System,2032,Medium Earth Orbit,Success,
140,Boeing,2001,15:02,Cape Canaveral,78,15,64,Delta II 7925,3511,1819,38.1,2.9,Mars Odyssey,Orbiting Robotic Spacecraft,758,Mars Orbit,Success,
141,Boeing,2001,17:45,Cape Canaveral,80,9,67,Delta II 7925,3511,1819,38.1,2.9,GeoLITE,Earth Observation Satellite,1800,Geostationary Transfer Orbit,Success,
142,Boeing,2001,19:46,Cape Canaveral,81,9,82,Delta II 7425-10C,3020,1073,38.9,3,WMAP,Microwave Anisotropy Probe,835,Earth-Moon L2,Success,
143,Boeing,2001,16:13,Cape Canaveral,87,9,65,Delta II 7326,2533,934,38.1,2.9,Genesis,Solar wind particles sample-return probe,636,Heliocentric Orbit,Success,
